"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","other",NA,NA,NA,NA,1,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.3"
"2","other",NA,NA,NA,NA,0.799529688418577,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.2"
"3","other",NA,NA,NA,NA,0.683806600153492,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.1"
"4","Euphausiidae",NA,NA,NA,NA,0.191864927091328,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.1"
"5","Euphausiidae",NA,NA,NA,NA,0.118165784832451,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.2"
"6","Calanidae",NA,NA,NA,NA,0.0767459708365311,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.1"
"7","Calanidae",NA,NA,NA,NA,0.0583480305702528,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.2"
"8","Metridinidae",NA,NA,NA,NA,0.0475825019186493,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.1"
"9","Metridinidae",NA,NA,NA,NA,0.0221928277483833,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.2"
"10","Rhincalanidae",NA,NA,NA,NA,0.00102880658436214,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.2"
"11","Salpidae",NA,NA,NA,NA,0.000734861845972957,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.2"
"12","Rhincalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.1"
"13","Rhincalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.3"
"14","Eucalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.1"
"15","Eucalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.2"
"16","Eucalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.3"
"17","Euphausiidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.3"
"18","Calanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.3"
"19","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","CT1.T6.H33_S3.1"
