"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","seq_34_.NA.other",NA,NA,NA,NA,0.5,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"2","seq_34_.NA.other",NA,NA,NA,NA,0.5,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"3","seq_34_.NA.other",NA,NA,NA,NA,0.5,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"4","seq_27_Calanoida.Metridia pacifica.b0c15",NA,NA,NA,NA,0.198668146503885,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"5","seq_27_Calanoida.Metridia pacifica.b0c15",NA,NA,NA,NA,0.191408924695153,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"6","seq_27_Calanoida.Metridia pacifica.b0c15",NA,NA,NA,NA,0.160278323598288,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"7","seq_6_Euphausiacea..2f9a3",NA,NA,NA,NA,0.0610212376517456,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"8","seq_7_Calanoida.Metridia pacifica.3855b",NA,NA,NA,NA,0.0452936291720692,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"9","seq_7_Calanoida.Metridia pacifica.3855b",NA,NA,NA,NA,0.0449500554938957,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"10","seq_19_Calanoida.Calanus helgolandicus.6e6b2",NA,NA,NA,NA,0.0427302996670366,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"11","seq_7_Calanoida.Metridia pacifica.3855b",NA,NA,NA,NA,0.0426098893704073,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"12","seq_6_Euphausiacea..2f9a3",NA,NA,NA,NA,0.0377358490566038,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"13","seq_24_Calanoida.Paracalanus parvus.961cd",NA,NA,NA,NA,0.0364458561007779,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"14","seq_19_Calanoida.Calanus helgolandicus.6e6b2",NA,NA,NA,NA,0.0364140965312277,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"15","seq_24_Calanoida.Paracalanus parvus.961cd",NA,NA,NA,NA,0.0344062153163152,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"16","seq_19_Calanoida.Calanus helgolandicus.6e6b2",NA,NA,NA,NA,0.0339291001588113,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"17","seq_11_Calanoida.Calanus helgolandicus.50ae1",NA,NA,NA,NA,0.0321864594894562,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"18","seq_14_Calanoida.Calanus.5c28f",NA,NA,NA,NA,0.0321864594894562,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"19","seq_24_Calanoida.Paracalanus parvus.961cd",NA,NA,NA,NA,0.0295741612156,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"20","seq_5_Calanoida.Metridia pacifica.2cfd4",NA,NA,NA,NA,0.0288568257491676,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"21","seq_6_Euphausiacea..2f9a3",NA,NA,NA,NA,0.0249122244722542,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"22","seq_11_Calanoida.Calanus helgolandicus.50ae1",NA,NA,NA,NA,0.0244314622455967,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"23","seq_14_Calanoida.Calanus.5c28f",NA,NA,NA,NA,0.0241400911991375,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"24","seq_11_Calanoida.Calanus helgolandicus.50ae1",NA,NA,NA,NA,0.0219105811418266,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"25","seq_4_Calanoida.Metridia pacifica.21ed1",NA,NA,NA,NA,0.0209932838973791,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"26","seq_4_Calanoida.Metridia pacifica.21ed1",NA,NA,NA,NA,0.020605098113106,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"27","seq_5_Calanoida.Metridia pacifica.2cfd4",NA,NA,NA,NA,0.0198379586013835,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"28","seq_5_Calanoida.Metridia pacifica.2cfd4",NA,NA,NA,NA,0.0195801343220524,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"29","seq_14_Calanoida.Calanus.5c28f",NA,NA,NA,NA,0.0194880353153347,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
