"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Metridinidae",NA,NA,NA,NA,0.381908360888049,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"2","Metridinidae",NA,NA,NA,NA,0.37503220517625,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"3","Euphausiidae",NA,NA,NA,NA,0.278302629507164,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"4","unidentified Calanoida",NA,NA,NA,NA,0.243658508022017,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"5","Euphausiidae",NA,NA,NA,NA,0.210094858882773,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"6","unidentified Calanoida",NA,NA,NA,NA,0.185088962368131,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"7","Calanidae",NA,NA,NA,NA,0.0832650193231057,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"8","unidentified Siphonophorae",NA,NA,NA,NA,0.0768005621267127,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"9","unidentified Siphonophorae",NA,NA,NA,NA,0.0752637379940167,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"10","Calanidae",NA,NA,NA,NA,0.0717997165800661,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"11","other",NA,NA,NA,NA,0.00812741538821876,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"12","other",NA,NA,NA,NA,0.00590458195559754,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"13","Eucalanidae",NA,NA,NA,NA,0.00170980208455323,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"14","Rhincalanidae",NA,NA,NA,NA,0.0013116289963696,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"15","Rhincalanidae",NA,NA,NA,NA,0.00102346087230357,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"16","Eucalanidae",NA,NA,NA,NA,0.000708549834671705,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"17","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"18","Clausocalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"19","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"20","Oithonidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"21","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"22","Paracalanidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"23","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"24","Salpidae",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"25","unidentified Collodaria",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.2"
"26","unidentified Collodaria",NA,NA,NA,NA,0,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S3.3"
"27","clr_unidentified Siphonophorae",1,4.0369106040104,5.98831428606273,6.99016302119327,6.99081182071885,7.99051009015314,10.0208804624788,0,"1-2mm","predicted C1.T7.H9_S3"
