"","coord","sample","p2.5","p25","p50","n_reads","p75","p97.5","cycle_num","size","replicate"
"1","Metridinidae",NA,NA,NA,NA,0.634795590567974,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"2","Metridinidae",NA,NA,NA,NA,0.595604395604396,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"3","Metridinidae",NA,NA,NA,NA,0.525170466053064,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"4","Calanidae",NA,NA,NA,NA,0.231868131868132,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"5","Calanidae",NA,NA,NA,NA,0.175630823369457,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"6","Calanidae",NA,NA,NA,NA,0.154893444651979,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"7","Euphausiidae",NA,NA,NA,NA,0.134752571055652,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"8","Paracalanidae",NA,NA,NA,NA,0.110988590588924,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"9","Paracalanidae",NA,NA,NA,NA,0.0879120879120879,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"10","Euphausiidae",NA,NA,NA,NA,0.0747252747252747,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"11","Paracalanidae",NA,NA,NA,NA,0.0713133655909679,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"12","Euphausiidae",NA,NA,NA,NA,0.0611162207915117,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"13","unidentified Calanoida",NA,NA,NA,NA,0.0274771024146545,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"14","unidentified Calanoida",NA,NA,NA,NA,0.0247663987416857,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"15","Clausocalanidae",NA,NA,NA,NA,0.0159688620519588,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"16","Clausocalanidae",NA,NA,NA,NA,0.0149875104079933,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"17","Oithonidae",NA,NA,NA,NA,0.0144924274816032,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"18","other",NA,NA,NA,NA,0.0100366811440916,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
"19","unidentified Calanoida",NA,NA,NA,NA,0.00989010989010989,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.1"
"20","Oithonidae",NA,NA,NA,NA,0.0054651364284667,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.2"
"21","Rhincalanidae",NA,NA,NA,NA,0.00497333303328308,NA,NA,30,"0.2-0.5mm","C1.T7.H9_S1.3"
